Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
65 (rel: -10),-10,",",665,1,28471,114.53,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Overwhelmed Narrative Processing
65 (rel: -10),-10,",",665,2,14818,31.63,punctuation marks in contexts related to economic and social critiques,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/14818,Overwhelmed Narrative Processing
65 (rel: -10),-10,",",665,3,55982,28.92, mathematical expressions and equations,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/55982,Overwhelmed Narrative Processing
65 (rel: -10),-10,",",665,4,8335,26.78, punctuations or breaks in text,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/8335,Overwhelmed Narrative Processing
65 (rel: -10),-10,",",665,5,22827,26.75,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Overwhelmed Narrative Processing
65 (rel: -10),-10,",",665,6,60173,22.58, punctuation marks and symbols in context,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/60173,Overwhelmed Narrative Processing
65 (rel: -10),-10,",",665,7,28638,21.80, inquiries about gameplay experiences and technical issues related to video games,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28638,Overwhelmed Narrative Processing
65 (rel: -10),-10,",",665,8,21207,20.48, terms related to cadherins and specific individuals linked to them,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/21207,Overwhelmed Narrative Processing
65 (rel: -10),-10,",",665,9,27326,18.13,negations and words that express contradiction or denial,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27326,Overwhelmed Narrative Processing
65 (rel: -10),-10,",",665,10,62132,17.33, structured data representations and their properties in code,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/62132,Overwhelmed Narrative Processing
66 (rel: -9),-9, my,605,1,28471,96.65,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Overwhelmed Narrative Processing
66 (rel: -9),-9, my,605,2,21207,27.10, terms related to cadherins and specific individuals linked to them,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/21207,Overwhelmed Narrative Processing
66 (rel: -9),-9, my,605,3,27326,21.90,negations and words that express contradiction or denial,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27326,Overwhelmed Narrative Processing
66 (rel: -9),-9, my,605,4,56046,21.27," possessive pronouns, particularly ""my"" and variations thereof",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/56046,Overwhelmed Narrative Processing
66 (rel: -9),-9, my,605,5,23178,21.08, possessive pronouns and their usage in relation to characters' identities or belongings,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/23178,Overwhelmed Narrative Processing
66 (rel: -9),-9, my,605,6,22827,20.98,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Overwhelmed Narrative Processing
