Token_Position,Relative_Position,Token_Text,L0_Norm,Feature_Rank,Feature_Index,Activation,Feature_Description,Neuronpedia_URL,Pattern_Name
0,-10,<bos>,585,1,28471,118.47,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Self-Critical Rumination
0,-10,<bos>,585,2,61079,39.37, inquiries or questions indicating curiosity,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/61079,Self-Critical Rumination
0,-10,<bos>,585,3,58815,25.95,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Self-Critical Rumination
0,-10,<bos>,585,4,199,23.59, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Self-Critical Rumination
0,-10,<bos>,585,5,56352,19.20, programming terms and code structure related to software development,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/56352,Self-Critical Rumination
0,-10,<bos>,585,6,11322,18.86, mentions of items related to sewing and fabric,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/11322,Self-Critical Rumination
0,-10,<bos>,585,7,39353,17.70, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Self-Critical Rumination
0,-10,<bos>,585,8,16550,17.50, technical terms related to genetics and statistical analysis,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/16550,Self-Critical Rumination
0,-10,<bos>,585,9,27530,16.40, phrases related to software licensing and warranties,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27530,Self-Critical Rumination
0,-10,<bos>,585,10,31829,16.15,"the word ""that"" in various contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/31829,Self-Critical Rumination
1,-9,Why,626,1,28471,90.31,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Self-Critical Rumination
1,-9,Why,626,2,62958,33.08,conditional phrases,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/62958,Self-Critical Rumination
1,-9,Why,626,3,27530,20.41, phrases related to software licensing and warranties,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/27530,Self-Critical Rumination
1,-9,Why,626,4,51880,19.56, technical terminology related to programming and software,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/51880,Self-Critical Rumination
1,-9,Why,626,5,20165,18.62, mathematical expressions and programming constructs,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/20165,Self-Critical Rumination
1,-9,Why,626,6,39353,17.90, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Self-Critical Rumination
1,-9,Why,626,7,24611,15.94,commands and methods related to file handling and XML processing in programming,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/24611,Self-Critical Rumination
1,-9,Why,626,8,46054,15.39, references to NFL players and their positions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/46054,Self-Critical Rumination
1,-9,Why,626,9,22827,14.95,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Self-Critical Rumination
1,-9,Why,626,10,15890,14.92,"chemical compounds, specifically those relevant to scientific and medical contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/15890,Self-Critical Rumination
2,-8, did,618,1,28471,77.28,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Self-Critical Rumination
2,-8, did,618,2,6802,24.97," occurrences of the pronoun ""I"" in various contexts",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/6802,Self-Critical Rumination
2,-8, did,618,3,199,24.63, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Self-Critical Rumination
2,-8, did,618,4,51117,23.17,references to the speaker or self-identity,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/51117,Self-Critical Rumination
2,-8, did,618,5,22827,22.21,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Self-Critical Rumination
2,-8, did,618,6,25355,21.59,keywords related to displacement and immigration history,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/25355,Self-Critical Rumination
2,-8, did,618,7,9546,20.61, scientific terms and notation related to quantum physics,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/9546,Self-Critical Rumination
2,-8, did,618,8,39353,20.10, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Self-Critical Rumination
2,-8, did,618,9,58301,18.44, references to IP addresses and related concepts in technical contexts,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58301,Self-Critical Rumination
2,-8, did,618,10,47975,18.10, mathematical notations and expressions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/47975,Self-Critical Rumination
3,-7, I,589,1,28471,123.79,license and copyright text from open-source software headers.,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/28471,Self-Critical Rumination
3,-7, I,589,2,22827,30.12,complex mathematical or scientific expressions and symbols,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/22827,Self-Critical Rumination
3,-7, I,589,3,199,23.25, technical terms and code snippets related to programming in PHP and MySQL,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/199,Self-Critical Rumination
3,-7, I,589,4,12420,22.78, sequences indicating possessive pronouns and their associated terms,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/12420,Self-Critical Rumination
3,-7, I,589,5,24386,21.93," punctuation marks, particularly apostrophes",https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/24386,Self-Critical Rumination
3,-7, I,589,6,58815,18.82,references to health-related terminology and conditions,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/58815,Self-Critical Rumination
3,-7, I,589,7,39353,17.15, sentences or fragments that indicate the start of a new topic or section,https://neuronpedia.org/gemma-2-2b/17-gemmascope-res-65k/39353,Self-Critical Rumination
